Region,Country,Year,Gender,SuicideCount
EUROPE,ALBANIA,1992,Male,33
EUROPE,ALBANIA,1992,Female,14
EUROPE,ALBANIA,1993,Male,46
EUROPE,ALBANIA,1993,Female,27
EUROPE,ALBANIA,1994,Male,37
EUROPE,ALBANIA,1994,Female,15
EUROPE,ALBANIA,1995,Male,57
EUROPE,ALBANIA,1995,Female,34
EUROPE,ALBANIA,1996,Male,53
EUROPE,ALBANIA,1996,Female,39
EUROPE,ALBANIA,1997,Male,124
EUROPE,ALBANIA,1997,Female,52
EUROPE,ALBANIA,1998,Male,104
EUROPE,ALBANIA,1998,Female,61
EUROPE,ALBANIA,1999,Male,101
EUROPE,ALBANIA,1999,Female,53
EUROPE,ALBANIA,2000,Male,39
EUROPE,ALBANIA,2000,Female,18
EUROPE,ALBANIA,2001,Male,84
EUROPE,ALBANIA,2001,Female,35
EUROPE,ALBANIA,2002,Male,91
EUROPE,ALBANIA,2002,Female,42
EUROPE,ALBANIA,2003,Male,73
EUROPE,ALBANIA,2003,Female,51
EUROPE,ALBANIA,2004,Male,89
EUROPE,ALBANIA,2004,Female,57
EUROPE,ALBANIA,2005,Male,0
EUROPE,ALBANIA,2005,Female,0
EUROPE,ALBANIA,2006,Male,0
EUROPE,ALBANIA,2006,Female,0
EUROPE,ALBANIA,2007,Male,77
EUROPE,ALBANIA,2007,Female,47
EUROPE,ALBANIA,2008,Male,99
EUROPE,ALBANIA,2008,Female,61
EUROPE,ALBANIA,2009,Male,0
EUROPE,ALBANIA,2009,Female,0
EUROPE,ALBANIA,2010,Male,61
EUROPE,ALBANIA,2010,Female,35
ASIA,ARMENIA,1994,Male,76
ASIA,ARMENIA,1994,Female,36
ASIA,ARMENIA,1995,Male,95
ASIA,ARMENIA,1995,Female,35
ASIA,ARMENIA,1996,Male,63
ASIA,ARMENIA,1996,Female,24
ASIA,ARMENIA,1997,Male,62
ASIA,ARMENIA,1997,Female,15
ASIA,ARMENIA,1998,Male,48
ASIA,ARMENIA,1998,Female,18
ASIA,ARMENIA,1999,Male,49
ASIA,ARMENIA,1999,Female,18
ASIA,ARMENIA,2000,Male,47
ASIA,ARMENIA,2000,Female,14
ASIA,ARMENIA,2001,Male,48
ASIA,ARMENIA,2001,Female,12
ASIA,ARMENIA,2002,Male,62
ASIA,ARMENIA,2002,Female,12
ASIA,ARMENIA,2003,Male,50
ASIA,ARMENIA,2003,Female,9
ASIA,ARMENIA,2006,Male,61
ASIA,ARMENIA,2006,Female,17
ASIA,ARMENIA,2007,Male,51
ASIA,ARMENIA,2007,Female,20
ASIA,ARMENIA,2008,Male,44
ASIA,ARMENIA,2008,Female,19
ASIA,ARMENIA,2009,Male,43
ASIA,ARMENIA,2009,Female,10
ASIA,ARMENIA,2010,Male,54
ASIA,ARMENIA,2010,Female,19
ASIA,ARMENIA,2011,Male,51
ASIA,ARMENIA,2011,Female,16
ASIA,ARMENIA,2012,Male,59
ASIA,ARMENIA,2012,Female,20
ASIA,ARMENIA,2013,Male,43
ASIA,ARMENIA,2013,Female,24
ASIA,ARMENIA,2014,Male,43
ASIA,ARMENIA,2014,Female,15
OCEANIA,AUSTRALIA,1991,Male,1806
OCEANIA,AUSTRALIA,1991,Female,482
OCEANIA,AUSTRALIA,1992,Male,1786
OCEANIA,AUSTRALIA,1992,Female,466
OCEANIA,AUSTRALIA,1993,Male,1641
OCEANIA,AUSTRALIA,1993,Female,398
OCEANIA,AUSTRALIA,1994,Male,1865
OCEANIA,AUSTRALIA,1994,Female,418
OCEANIA,AUSTRALIA,1995,Male,1711
OCEANIA,AUSTRALIA,1995,Female,459
OCEANIA,AUSTRALIA,1996,Male,1966
OCEANIA,AUSTRALIA,1996,Female,460
OCEANIA,AUSTRALIA,1997,Male,2089
OCEANIA,AUSTRALIA,1997,Female,557
OCEANIA,AUSTRALIA,1998,Male,2108
OCEANIA,AUSTRALIA,1998,Female,525
OCEANIA,AUSTRALIA,1999,Male,1999
OCEANIA,AUSTRALIA,1999,Female,489
OCEANIA,AUSTRALIA,2000,Male,1887
OCEANIA,AUSTRALIA,2000,Female,505
OCEANIA,AUSTRALIA,2001,Male,1936
OCEANIA,AUSTRALIA,2001,Female,523
OCEANIA,AUSTRALIA,2002,Male,1813
OCEANIA,AUSTRALIA,2002,Female,506
ASIA,UNITED ARAB EMIRATES,2018,Male,121
ASIA,UNITED ARAB EMIRATES,2018,Female,15
OCEANIA,AUSTRALIA,2003,Male,1685
OCEANIA,AUSTRALIA,2003,Female,471
ASIA,UNITED ARAB EMIRATES,2019,Male,50
ASIA,UNITED ARAB EMIRATES,2019,Female,7
ASIA,UNITED ARAB EMIRATES,2020,Male,155
ASIA,UNITED ARAB EMIRATES,2020,Female,25
OCEANIA,AUSTRALIA,2004,Male,1672
OCEANIA,AUSTRALIA,2004,Female,442
OCEANIA,AUSTRALIA,2006,Male,1624
OCEANIA,AUSTRALIA,2006,Female,494
